Nombre,ID,BDI,Sector,Clase,Subclase,Subclase2,Subclase3,Subclase4,Subclase5
Porcentaje de población de 15 años y más con escolaridad básica,6207019031,BISE,Demografía y Sociedad,Educación,Porcentaje de población de 15 años y más con escolaridad básica,,,,
Porcentaje de la población de 3 a 5 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,6207019066,BISE,Demografía y Sociedad,Educación,Porcentaje de la población de 3 a 5 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,,,,
Porcentaje de la población de 6 a 11 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,6207019067,BISE,Demografía y Sociedad,Educación,Porcentaje de la población de 6 a 11 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,,,,
Porcentaje de la población de 12 a 14 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,6207019068,BISE,Demografía y Sociedad,Educación,Porcentaje de la población de 12 a 14 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,,,,
Porcentaje de la población de 15 a 24 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,6207019069,BISE,Demografía y Sociedad,Educación,Porcentaje de la población de 15 a 24 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,,,,
Población de 6 a 14 años que sabe leer y escribir,6207049066,BISE,Demografía y Sociedad,Educación,Población de 6 a 14 años que sabe leer y escribir,,,,
Población de 6 a 14 años que no sabe leer y escribir,6207049067,BISE,Demografía y Sociedad,Educación,Población de 6 a 14 años que no sabe leer y escribir,,,,
Porcentaje de la población de 3 años y más que asiste a la escuela,6207049068,BISE,Demografía y Sociedad,Educación,Porcentaje de la población de 3 años y más que asiste a la escuela,,,,
Porcentaje de la población de 3 años y más que no asiste a la escuela,6207049069,BISE,Demografía y Sociedad,Educación,Porcentaje de la población de 3 años y más que no asiste a la escuela,,,,
Población de 6 a 14 años que no especificó si sabe o no leer y escribir,6207049070,BISE,Demografía y Sociedad,Educación,Población de 6 a 14 años que no especificó si sabe o no leer y escribir,,,,
Porcentaje de la población de 3 años y más que no especificó si asiste o no a la escuela,6207049071,BISE,Demografía y Sociedad,Educación,Porcentaje de la población de 3 años y más que no especificó si asiste o no a la escuela,,,,
Razón entre niñas y niños en la enseñanza secundaria,6300000229,BISE,Demografía y Sociedad,Educación,Razón entre niñas y niños en la enseñanza secundaria,,,,
Razón entre mujeres y hombres en la enseñanza superior,6300000231,BISE,Demografía y Sociedad,Educación,Razón entre mujeres y hombres en la enseñanza superior,,,,
Razón entre mujeres y hombres en la enseñanza media superior,6300000235,BISE,Demografía y Sociedad,Educación,Razón entre mujeres y hombres en la enseñanza media superior,,,,
Razón entre niñas y niños en la enseñanza primaria,6300000246,BISE,Demografía y Sociedad,Educación,Razón entre niñas y niños en la enseñanza primaria,,,,
Gasto nacional  en educación total como porcentaje del PIB,6207067825,BISE,Demografía y Sociedad,Educación,Gasto nacional  en educación total como porcentaje del PIB,,,,
Porcentaje de personas de 15 años y más alfabetas,1002000041,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de personas de 15 años y más alfabetas,,,,
Tasa de alfabetización de las personas de 15 a 24 años,1002000050,BISE,Demografía y Sociedad,Características educativas de la población,Tasa de alfabetización de las personas de 15 a 24 años,,,,
Población de 5 años y más que asiste a la escuela,1005000012,BISE,Demografía y Sociedad,Características educativas de la población,Población de 5 años y más que asiste a la escuela,,,,
Grado promedio de escolaridad de la población de 15 y más años,1005000038,BISE,Demografía y Sociedad,Características educativas de la población,Grado promedio de escolaridad de la población de 15 y más años,,,,
Porcentaje de analfabetas total,3108001001,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de analfabetas total,,,,
Porcentaje de analfabetas hombres,3108001002,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de analfabetas hombres,,,,
Porcentaje de analfabetas mujeres,3108001003,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de analfabetas mujeres,,,,
Población en edad escolar de 3 a 24 años,6200200237,BISE,Demografía y Sociedad,Características educativas de la población,Población en edad escolar de 3 a 24 años,,,,
Población de 8 a 14 años que sabe leer y escribir,6200205238,BISE,Demografía y Sociedad,Características educativas de la población,Población de 8 a 14 años que sabe leer y escribir,,,,
Población de 15 años y más con algún grado aprobado en educación básica,6200205239,BISE,Demografía y Sociedad,Características educativas de la población,Población de 15 años y más con algún grado aprobado en educación básica,,,,
Población de 19 años y más con algún grado aprobado en estudios técnicos o comerciales con secundaria terminada,6200205240,BISE,Demografía y Sociedad,Características educativas de la población,Población de 19 años y más con algún grado aprobado en estudios técnicos o comerciales con secundaria terminada,,,,
Población de 19 años y más con algún grado aprobado en bachillerato,6200205241,BISE,Demografía y Sociedad,Características educativas de la población,Población de 19 años y más con algún grado aprobado en bachillerato,,,,
Población de 24 años y más con algún grado aprobado en estudios superiores,6200205242,BISE,Demografía y Sociedad,Características educativas de la población,Población de 24 años y más con algún grado aprobado en estudios superiores,,,,
Porcentaje de la población de 15 años y más con instrucción media superior,6200240314,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 años y más con instrucción media superior,,,,
Porcentaje de la población de 15 años y más con secundaria incompleta,6200240333,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 años y más con secundaria incompleta,,,,
Porcentaje de la población de 15 años y más con primaria completa,6200240362,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 años y más con primaria completa,,,,
Porcentaje de la población de 15 años y más con instrucción superior,6200240365,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 años y más con instrucción superior,,,,
Porcentaje de la población de 15 años y más con instrucción no especificada,6200240368,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 años y más con instrucción no especificada,,,,
Porcentaje de la población de 15 años y más con secundaria completa,6200240380,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 años y más con secundaria completa,,,,
Porcentaje de la población de 15 años y más con rezago educativo,6200240391,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 años y más con rezago educativo,,,,
Porcentaje de la población de 15 años y más sin instrucción,6200240447,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 años y más sin instrucción,,,,
Porcentaje de la población de 15 años y más con primaria incompleta,6200240510,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 años y más con primaria incompleta,,,,
Porcentaje de población de 25 años y más alfabeta,6207019010,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de población de 25 años y más alfabeta,,,,
Porcentaje de población de 15 años y más sin escolaridad,6207019020,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de población de 15 años y más sin escolaridad,,,,
Porcentaje de la población de 3 a 5 años que asiste a la escuela,6207019024,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 3 a 5 años que asiste a la escuela,,,,
Porcentaje de la población de 6 a 11 años que asiste a la escuela,6207019026,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 6 a 11 años que asiste a la escuela,,,,
Porcentaje de la población de 12 a 14 años que asiste a la escuela,6207019028,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 12 a 14 años que asiste a la escuela,,,,
Porcentaje de la población de 15 a 24 años que asiste a la escuela,6207019029,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 a 24 años que asiste a la escuela,,,,
Porcentaje de población de 15 años y más con escolaridad básica,6207019031,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de población de 15 años y más con escolaridad básica,,,,
Porcentaje de la población de 3 a 5 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,6207019066,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 3 a 5 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,,,,
Porcentaje de la población de 6 a 11 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,6207019067,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 6 a 11 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,,,,
Porcentaje de la población de 12 a 14 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,6207019068,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 12 a 14 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,,,,
Porcentaje de la población de 15 a 24 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,6207019069,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 15 a 24 años que asiste a la escuela en otro municipio o delegación diferente al de residencia,,,,
Población de 6 a 14 años que sabe leer y escribir,6207049066,BISE,Demografía y Sociedad,Características educativas de la población,Población de 6 a 14 años que sabe leer y escribir,,,,
Población de 6 a 14 años que no sabe leer y escribir,6207049067,BISE,Demografía y Sociedad,Características educativas de la población,Población de 6 a 14 años que no sabe leer y escribir,,,,
Porcentaje de la población de 3 años y más que asiste a la escuela,6207049068,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 3 años y más que asiste a la escuela,,,,
Porcentaje de la población de 3 años y más que no asiste a la escuela,6207049069,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 3 años y más que no asiste a la escuela,,,,
Población de 6 a 14 años que no especificó si sabe o no leer y escribir,6207049070,BISE,Demografía y Sociedad,Características educativas de la población,Población de 6 a 14 años que no especificó si sabe o no leer y escribir,,,,
Porcentaje de la población de 3 años y más que no especificó si asiste o no a la escuela,6207049071,BISE,Demografía y Sociedad,Características educativas de la población,Porcentaje de la población de 3 años y más que no especificó si asiste o no a la escuela,,,,
Razón entre niñas y niños en la enseñanza secundaria,6300000229,BISE,Demografía y Sociedad,Características educativas de la población,Razón entre niñas y niños en la enseñanza secundaria,,,,
Razón entre mujeres y hombres en la enseñanza superior,6300000231,BISE,Demografía y Sociedad,Características educativas de la población,Razón entre mujeres y hombres en la enseñanza superior,,,,
Razón entre mujeres y hombres en la enseñanza media superior,6300000235,BISE,Demografía y Sociedad,Características educativas de la población,Razón entre mujeres y hombres en la enseñanza media superior,,,,
Razón entre niñas y niños en la enseñanza primaria,6300000246,BISE,Demografía y Sociedad,Características educativas de la población,Razón entre niñas y niños en la enseñanza primaria,,,,
Conflictos de trabajo,1007000012,BISE,Demografía y Sociedad,Empleo y Ocupación,Conflictos de trabajo,,,,
Conflictos de trabajo solucionados,1007000013,BISE,Demografía y Sociedad,Empleo y Ocupación,Conflictos de trabajo solucionados,,,,
Huelgas estalladas,1007000014,BISE,Demografía y Sociedad,Empleo y Ocupación,Huelgas estalladas,,,,
Huelgas solucionadas,1007000015,BISE,Demografía y Sociedad,Empleo y Ocupación,Huelgas solucionadas,,,,
Personal ocupado total. Universo total,5000000002,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Universo total,,,,
Personal ocupado total. Sector privado y paraestatal,5300000011,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Sector privado y paraestatal,,,,
Personal ocupado total. Gran sector 43-46. Comercio,5300000012,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Gran sector 43-46. Comercio,,,,
"Personal ocupado total. Gran sector 51 ,53 ,54 ,55, 56, 61, 62, 71, 72 y 81. Servicios privados no financieros",5300000013,BISE,Demografía y Sociedad,Empleo y Ocupación,"Personal ocupado total. Gran sector 51 ,53 ,54 ,55, 56, 61, 62, 71, 72 y 81. Servicios privados no financieros",,,,
Personal ocupado total. Sector 11. Pesca y acuicultura,5300000014,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Sector 11. Pesca y acuicultura,,,,
Personal ocupado total. Sector 21. Minería,5300000015,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Sector 21. Minería,,,,
"Personal ocupado total. Sector 22. Electricidad, agua y gas",5300000016,BISE,Demografía y Sociedad,Empleo y Ocupación,"Personal ocupado total. Sector 22. Electricidad, agua y gas",,,,
Personal ocupado total. Sector 23. Construcción,5300000017,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Sector 23. Construcción,,,,
Personal ocupado total. Sector 31-33. Industrias manufactureras,5300000018,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Sector 31-33. Industrias manufactureras,,,,
Personal ocupado total. Sector 48-49. Transportes,5300000019,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Sector 48-49. Transportes,,,,
Personal ocupado total. Sector 52. Servicios financieros y de seguros,5300000020,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Sector 52. Servicios financieros y de seguros,,,,
Población no económicamente activa - 15 años y más,6200032077,BISE,Demografía y Sociedad,Empleo y Ocupación,Población no económicamente activa - 15 años y más,,,,
Población no económicamente activa disponible - 15 años y más,6200032078,BISE,Demografía y Sociedad,Empleo y Ocupación,Población no económicamente activa disponible - 15 años y más,,,,
Población no económicamente activa no disponible - 15 años y más,6200032079,BISE,Demografía y Sociedad,Empleo y Ocupación,Población no económicamente activa no disponible - 15 años y más,,,,
Población ocupada con ingresos de hasta un salario mínimo - 15 años y más,6200032080,BISE,Demografía y Sociedad,Empleo y Ocupación,Población ocupada con ingresos de hasta un salario mínimo - 15 años y más,,,,
"Población ocupada con ingresos de hasta un salario mínimo - 15 años y más, hombres",6200032081,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de hasta un salario mínimo - 15 años y más, hombres",,,,
"Población ocupada con ingresos de hasta un salario mínimo - 15 años y más, mujeres",6200032082,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de hasta un salario mínimo - 15 años y más, mujeres",,,,
Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más,6200032083,BISE,Demografía y Sociedad,Empleo y Ocupación,Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más,,,,
"Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más, hombres",6200032084,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más, hombres",,,,
"Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más, mujeres",6200032085,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de más de 1 hasta 2 salarios mínimos - 15 años y más, mujeres",,,,
Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más,6200032086,BISE,Demografía y Sociedad,Empleo y Ocupación,Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más,,,,
"Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más, hombres",6200032087,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más, hombres",,,,
"Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más, mujeres",6200032088,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de más de 2 hasta 3 salarios mínimos - 15 años y más, mujeres",,,,
Población ocupada con ingresos de más de 3 hasta 5 salarios mínimos - 15 años y más,6200032089,BISE,Demografía y Sociedad,Empleo y Ocupación,Población ocupada con ingresos de más de 3 hasta 5 salarios mínimos - 15 años y más,,,,
"Población ocupada con ingresos de más de 3 hasta 5 salarios mínimos - 15 años y más, hombres",6200032090,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de más de 3 hasta 5 salarios mínimos - 15 años y más, hombres",,,,
"Población ocupada con ingresos de más de 3 hasta 5 salarios mínimos - 15 años y más, mujeres",6200032091,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de más de 3 hasta 5 salarios mínimos - 15 años y más, mujeres",,,,
Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más,6200032092,BISE,Demografía y Sociedad,Empleo y Ocupación,Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más,,,,
"Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más, hombres",6200032093,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más, hombres",,,,
"Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más, mujeres",6200032094,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más, mujeres",,,,
Población ocupada que no recibe ingresos - 15 años y más,6200032095,BISE,Demografía y Sociedad,Empleo y Ocupación,Población ocupada que no recibe ingresos - 15 años y más,,,,
"Población ocupada que no recibe ingresos - 15 años y más, hombres",6200032096,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada que no recibe ingresos - 15 años y más, hombres",,,,
"Población ocupada que no recibe ingresos - 15 años y más, mujeres",6200032097,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada que no recibe ingresos - 15 años y más, mujeres",,,,
Población ocupada con ingresos no especificados - 15 años y más,6200032098,BISE,Demografía y Sociedad,Empleo y Ocupación,Población ocupada con ingresos no especificados - 15 años y más,,,,
"Población ocupada con ingresos no especificados - 15 años y más, hombres",6200032099,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos no especificados - 15 años y más, hombres",,,,
"Población ocupada con ingresos no especificados - 15 años y más, mujeres",6200032100,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada con ingresos no especificados - 15 años y más, mujeres",,,,
Cantidad de personal ocupado total en la prestación del servicio de agua potable,6200089275,BISE,Demografía y Sociedad,Empleo y Ocupación,Cantidad de personal ocupado total en la prestación del servicio de agua potable,,,,
Cantidad de personal sindicalizado ocupado en la prestación del servicio de agua potable,6200089276,BISE,Demografía y Sociedad,Empleo y Ocupación,Cantidad de personal sindicalizado ocupado en la prestación del servicio de agua potable,,,,
Cantidad de personal de confianza ocupado en la prestación del servicio de agua potable,6200089277,BISE,Demografía y Sociedad,Empleo y Ocupación,Cantidad de personal de confianza ocupado en la prestación del servicio de agua potable,,,,
Población ocupada en el sector informal - 15 años y más,6200093709,BISE,Demografía y Sociedad,Empleo y Ocupación,Población ocupada en el sector informal - 15 años y más,,,,
"Población ocupada en el sector informal - 15 años y más, mujeres",6200093715,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada en el sector informal - 15 años y más, mujeres",,,,
"Población ocupada en el sector informal - 15 años y más, hombres",6200093716,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada en el sector informal - 15 años y más, hombres",,,,
"Población ocupada - 15 años y más, hombres",6200093950,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada - 15 años y más, hombres",,,,
Población ocupada - 15 años y más,6200093954,BISE,Demografía y Sociedad,Empleo y Ocupación,Población ocupada - 15 años y más,,,,
"Población ocupada - 15 años y más, mujeres",6200093956,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población ocupada - 15 años y más, mujeres",,,,
Población económicamente activa - 15 años y más,6200093960,BISE,Demografía y Sociedad,Empleo y Ocupación,Población económicamente activa - 15 años y más,,,,
Población en edad de trabajar  (15 años y más),6200093963,BISE,Demografía y Sociedad,Empleo y Ocupación,Población en edad de trabajar  (15 años y más),,,,
Población desocupada - 15 años y más,6200093973,BISE,Demografía y Sociedad,Empleo y Ocupación,Población desocupada - 15 años y más,,,,
"Población desocupada - 15 años y más, hombres",6200093974,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población desocupada - 15 años y más, hombres",,,,
"Población desocupada - 15 años y más, mujeres",6200093975,BISE,Demografía y Sociedad,Empleo y Ocupación,"Población desocupada - 15 años y más, mujeres",,,,
Porcentaje de población de 12 años y más económicamente activa,6207019030,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de población de 12 años y más económicamente activa,,,,
Porcentaje de la población de 12 años y más No Económicamente Activa,6207019035,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población de 12 años y más No Económicamente Activa,,,,
Porcentaje de la población de 12 años y más económicamente activa ocupada,6207019039,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población de 12 años y más económicamente activa ocupada,,,,
Porcentaje de la población femenina de 12 años y más económicamente activa,6207019040,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población femenina de 12 años y más económicamente activa,,,,
Porcentaje de la población masculina de 12 años y más económicamente activa,6207019043,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población masculina de 12 años y más económicamente activa,,,,
Porcentaje de la población de 12 años y más no económicamente activa que estudia,6207019047,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población de 12 años y más no económicamente activa que estudia,,,,
Porcentaje de la población femenina de 12 años y más económicamente activa ocupada,6207019054,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población femenina de 12 años y más económicamente activa ocupada,,,,
Porcentaje de la población masculina de 12 años y más económicamente activa ocupada,6207019056,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población masculina de 12 años y más económicamente activa ocupada,,,,
Porcentaje de población de 12 años con condición de actividad económica no especificada,6207019059,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de población de 12 años con condición de actividad económica no especificada,,,,
Porcentaje de la población de 12 años y más no económicamente activa que es pensionada o jubilada,6207019060,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población de 12 años y más no económicamente activa que es pensionada o jubilada,,,,
Porcentaje de la población de 12 años y más no económicamente activa que se dedica a los quehaceres del hogar,6207019064,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población de 12 años y más no económicamente activa que se dedica a los quehaceres del hogar,,,,
Porcentaje de la población de 12 años y más no económicamente activa que realiza otras actividades no económicas,6207019065,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población de 12 años y más no económicamente activa que realiza otras actividades no económicas,,,,
Porcentaje de la población de 12 años y más no económicamente activa con alguna limitación física o mental que les impide trabajar,6207019070,BISE,Demografía y Sociedad,Empleo y Ocupación,Porcentaje de la población de 12 años y más no económicamente activa con alguna limitación física o mental que les impide trabajar,,,,
Personal ocupado total. Sector 46. Comercio al por menor,6207128136,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Sector 46. Comercio al por menor,,,,
Personal ocupado total. Sector 43. Comercio al por mayor,6207128151,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado total. Sector 43. Comercio al por mayor,,,,
"Personal ocupado total. Resto de las actividades. Sectores 11, 22, 23, 48-49, 52",6207128161,BISE,Demografía y Sociedad,Empleo y Ocupación,"Personal ocupado total. Resto de las actividades. Sectores 11, 22, 23, 48-49, 52",,,,
Estructura porcentual de personal ocupado. Hombres. Universo total,6207129061,BISE,Demografía y Sociedad,Empleo y Ocupación,Estructura porcentual de personal ocupado. Hombres. Universo total,,,,
Estructura porcentual de personal ocupado. Mujeres . Universo total,6207129062,BISE,Demografía y Sociedad,Empleo y Ocupación,Estructura porcentual de personal ocupado. Mujeres . Universo total,,,,
Personal ocupado que inició operaciones en el año censal. Universo total,6207129134,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado que inició operaciones en el año censal. Universo total,,,,
Personal ocupado que inició operaciones antes del año censal. Zona Rural. Universo total,6207129137,BISE,Demografía y Sociedad,Empleo y Ocupación,Personal ocupado que inició operaciones antes del año censal. Zona Rural. Universo total,,,,
